Touptek;Altair;OmegonPro;Rising;OMGA
1216 G3CMOS16000KMA(USB2.0);;;1216 G3CMOS16000KMA(USB2.0);
1217 E3ISPM06300KPB;;;1217 E3ISPM06300KPB;
1218 E3ISPM06300KPB(USB2.0);;;1218 E3ISPM06300KPB(USB2.0);
1219 GPCMOS02000KPB;;;1219 GPCMOS02000KPB;
121a ATR3CMOS10300KPA;;;121a ATR3CMOS10300KPA;
121b ATR3CMOS10300KPA(USB2.0);;;121b ATR3CMOS10300KPA(USB2.0);
121c MTR3CMOS10300KPA;;;121c MTR3CMOS10300KPA;
121d MTR3CMOS10300KPA(USB2.0);;;121d MTR3CMOS10300KPA(USB2.0);
121e G3CMOS10300KPA;;;121e G3CMOS10300KPA;
121f G3CMOS10300KPA(USB2.0);;;121f G3CMOS10300KPA(USB2.0);
1220 ECMOS08300KPA;;;1220 ECMOS08300KPA;
1221 IUA6300KPA;;;1221 IUA6300KPA;
1222 IUA6300KPA(USB2.0);;;1222 IUA6300KPA(USB2.0);
1223 IUA6300KMA;;;1223 IUA6300KMA;
1224 IUA6300KMA(USB2.0);;;1224 IUA6300KMA(USB2.0);
1225 IUA20000KPA;;;1225 IUA20000KPA;
1226 IUA20000KPA(USB2.0);;;1226 IUA20000KPA(USB2.0);
1227 IUA20000KMA;;;1227 IUA20000KMA;
1228 IUA20000KMA(USB2.0);;;1228 IUA20000KMA(USB2.0);
122b IUB4200KMB;;;122b IUB4200KMB;
122c IUB4200KMB(USB2.0);;;122c IUB4200KMB(USB2.0);
122d IUB43000KMA;;;122d IUB43000KMA;
122e IUB43000KMA(USB2.0);;;122e IUB43000KMA(USB2.0);
122f IUC31000KMA;;;122f IUC31000KMA;
1230 IUC31000KMA(USB2.0);;;1230 IUC31000KMA(USB2.0);
1231 IUC31000KPA;;;1231 IUC31000KPA;
1232 IUC31000KPA(USB2.0);;;1232 IUC31000KPA(USB2.0);
1233 E3CMOS20000KPB;;;1233 E3CMOS20000KPB;
1234 E3CMOS20000KPB(USB2.0);;;1234 E3CMOS20000KPB(USB2.0);
1235 UA310CA;;;1235 UA310CA;
1236 UA510CA;;;1236 UA510CA;
1237 UA1000CA;;;1237 UA1000CA;
1238 UA130CA;;;1238 UA130CA;
